t soma.v(0.5)
 1017.45 -9.5694
 1017.46 -9.82814
 1017.47 -10.0857
 1017.48 -10.342
 1017.49 -10.5971
 1017.5 -10.851
 1017.51 -11.1037
 1017.53 -11.3551
 1017.54 -11.6053
 1017.55 -11.8543
 1017.56 -12.102
 1017.57 -12.3485
 1017.58 -12.5937
 1017.59 -12.8377
 1017.61 -13.0803
 1017.62 -13.3217
 1017.63 -13.5619
 1017.64 -13.8007
 1017.65 -14.0383
 1017.66 -14.2746
 1017.67 -14.5096
 1017.69 -14.7433
 1017.7 -14.9757
 1017.71 -15.2068
 1017.72 -15.4366
 1017.73 -15.6651
 1017.74 -15.8923
 1017.75 -16.1182
 1017.77 -16.3428
 1017.78 -16.566
 1017.79 -16.788
 1017.8 -17.0086
 1017.81 -17.228
 1017.82 -17.446
 1017.83 -17.6627
 1017.85 -17.8781
 1017.86 -18.0922
 1017.87 -18.3049
 1017.88 -18.5164
 1017.89 -18.7265
 1017.9 -18.9353
 1017.91 -19.1428
 1017.93 -19.3489
 1017.94 -19.5538
 1017.95 -19.7573
 1017.96 -19.9594
 1017.97 -20.1603
 1017.98 -20.3598
 1018 -20.558
 1018.01 -20.7549
 1018.02 -20.9504
 1018.03 -21.1447
 1018.04 -21.3375
 1018.05 -21.5291
 1018.06 -21.7193
 1018.08 -21.9082
 1018.09 -22.0957
 1018.1 -22.2819
 1018.11 -22.4668
 1018.12 -22.6503
 1018.13 -22.8325
 1018.14 -23.0134
 1018.16 -23.1929
 1018.17 -23.371
 1018.18 -23.5478
 1018.19 -23.7232
 1018.2 -23.8973
 1018.21 -24.07
 1018.22 -24.2414
 1018.24 -24.4114
 1018.25 -24.5801
 1018.26 -24.7474
 1018.27 -24.9133
 1018.28 -25.0779
 1018.29 -25.2412
 1018.3 -25.4031
 1018.32 -25.5636
 1018.33 -25.7228
 1018.34 -25.8806
 1018.35 -26.0371
 1018.36 -26.1923
 1018.37 -26.3461
 1018.38 -26.4986
 1018.4 -26.6498
 1018.41 -26.7996
 1018.42 -26.9481
 1018.43 -27.0952
 1018.44 -27.2411
 1018.45 -27.3856
 1018.46 -27.5288
 1018.48 -27.6707
 1018.49 -27.8113
 1018.5 -27.9506
 1018.51 -28.0886
 1018.52 -28.2253
 1018.53 -28.3608
 1018.54 -28.4949
 1018.56 -28.6278
 1018.57 -28.7594
 1018.58 -28.8897
 1018.59 -29.0187
 1018.61 -29.2186
 1018.63 -29.4154
 1018.64 -29.6091
 1018.66 -29.7998
 1018.68 -29.9876
 1018.7 -30.1723
 1018.72 -30.3541
 1018.73 -30.4633
 1018.74 -30.5714
 1018.75 -30.6785
 1018.76 -30.7844
 1018.77 -30.8894
 1018.79 -31.0744
 1018.81 -31.2561
 1018.83 -31.4345
 1018.85 -31.6097
 1018.87 -31.7816
 1018.88 -31.8969
 1018.9 -32.0108
 1018.91 -32.1232
 1018.92 -32.2342
 1018.94 -32.3437
 1018.95 -32.4519
 1018.96 -32.5587
 1018.98 -32.7392
 1019.01 -32.9157
 1019.03 -33.0883
 1019.05 -33.257
 1019.08 -33.4218
 1019.1 -33.583
 1019.12 -33.7404
 1019.15 -33.8943
 1019.17 -34.0447
 1019.19 -34.1915
 1019.23 -34.4094
 1019.26 -34.6197
 1019.3 -34.8225
 1019.33 -35.0182
 1019.37 -35.2069
 1019.4 -35.389
 1019.44 -35.5646
 1019.47 -35.734
 1019.51 -35.8974
 1019.54 -36.055
 1019.58 -36.207
 1019.61 -36.3535
 1019.65 -36.4949
 1019.68 -36.6312
 1019.72 -36.7627
 1019.75 -36.8894
 1019.79 -37.0116
 1019.82 -37.1294
 1019.86 -37.2429
 1019.89 -37.3524
 1019.93 -37.4578
 1019.96 -37.5593
 1020 -37.6571
 1020.03 -37.7512
 1020.07 -37.8418
 1020.1 -37.9289
 1020.14 -38.0127
 1020.17 -38.0932
 1020.22 -38.2091
 1020.28 -38.318
 1020.33 -38.4201
 1020.38 -38.5157
 1020.44 -38.6051
 1020.49 -38.6883
 1020.54 -38.7657
 1020.6 -38.8375
 1020.69 -38.9464
 1020.77 -39.0404
 1020.86 -39.1205
 1020.95 -39.1872
 1021.09 -39.2652
 1021.23 -39.3159
 1021.37 -39.3415
 1021.5 -39.3441
 1021.64 -39.3256
 1021.87 -39.2509
 1022.11 -39.129
 1022.34 -38.9676
 1022.58 -38.7736
 1022.81 -38.5533
 1023.04 -38.3124
 1023.4 -37.9213
 1023.75 -37.51
 1024.1 -37.0915
 1024.45 -36.6762
 1024.81 -36.2719
 1025.16 -35.8846
 1025.51 -35.5171
 1025.86 -35.1677
 1026.05 -34.9834
 1026.18 -34.8615
 1026.26 -34.7745
